,artist_name,song_names,song_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
7,Avicii,Addicted To You,68,0.0494,0.549,148387,0.778,0,1,0.0819,-4.071,0,0.0451,128.089,4,0.318
8,Avicii,You Make Me,68,0.00219,0.582,233347,0.738,0.0083,6,0.149,-4.82,1,0.0408,125.008,4,0.525
9,Avicii,For A Better Day,67,0.0386,0.639,206067,0.843,0.0829,5,0.108,-3.393,1,0.0334,135.002,4,0.317
0,Lil Wayne,Uproar,80,0.0595,0.743,194184,0.87,0,1,0.299,-2.188,1,0.212,99.075,4,0.884
1,Lil Wayne,Scared of the Dark (feat. XXXTENTACION),79,0.0468,0.443,233000,0.623,0,0,0.247,-6.717,0,0.0718,79.365,4,0.156
2,Lil Wayne,Mona Lisa (feat. Kendrick Lamar),78,0.371,0.855,324189,0.694,0,2,0.109,-4.393,1,0.169,122.078,4,0.49
3,Lil Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",77,0.255,0.502,243491,0.786,0,9,0.65,-4.378,0,0.317,169.021,4,0.739
4,Lil Wayne,Don't Cry (feat. XXXTENTACION),75,0.409,0.585,249450,0.709,0,8,0.183,-6.072,1,0.319,111.913,4,0.21
5,Lil Wayne,"Genius (with Lil Wayne, Sia, Diplo & Labrinth - Lil Wayne Remix)",75,0.0143,0.658,162920,0.783,0.000181,11,0.0543,-3.381,0,0.194,159.049,4,0.745
6,Lil Wayne,Codeine Dreaming (feat. Lil Wayne),75,0.0652,0.736,264532,0.604,6.43e-05,1,0.124,-7.357,0,0.222,155.007,4,0.574
7,Lil Wayne,A Milli,73,0.0527,0.679,221840,0.684,0.000895,6,0.177,-8.559,1,0.278,151.748,4,0.755
8,Lil Wayne,Let It Fly (feat. Travis Scott),72,0.0414,0.902,186872,0.819,0,1,0.106,-3.321,1,0.317,89.0,4,0.746
9,Lil Wayne,Lollipop,70,0.0656,0.828,299333,0.433,0.000876,0,0.122,-9.716,1,0.199,148.073,4,0.44
0,6ix9ine,KIKA (feat. Tory Lanez),87,0.128,0.745,136032,0.715,0,1,0.182,-3.368,0,0.245,94.513,4,0.342
1,6ix9ine,MALA (feat. Anuel Aa),86,0.689,0.719,206550,0.825,0,5,0.103,-3.627,0,0.0424,100.006,4,0.789
2,6ix9ine,BEBE (feat. Anuel Aa),86,0.172,0.635,217822,0.902,0,0,0.125,-3.559,1,0.109,102.063,4,0.286
3,6ix9ine,"FEFE (feat. Nicki Minaj, Murda Beatz)",85,0.088,0.931,179405,0.387,0,1,0.136,-9.127,1,0.412,125.978,4,0.376
4,6ix9ine,TIC TOC (feat. Lil Baby),82,0.0115,0.82,135739,0.691,0,6,0.344,-6.646,0,0.0723,142.027,4,0.683
5,6ix9ine,"MAMA (feat. Nicki Minaj, Kanye West)",82,0.0893,0.761,192405,0.672,9.77e-06,1,0.14,-5.887,1,0.212,160.077,3,0.437
6,6ix9ine,WAKA (feat. A Boogie Wit da Hoodie),80,0.0834,0.772,128769,0.812,0,0,0.115,-3.995,0,0.153,97.407,4,0.655
7,6ix9ine,STOOPID (feat. Bobby Shmurda),79,0.13,0.733,152000,0.63,0,11,0.162,-4.296,1,0.395,149.989,4,0.832
8,6ix9ine,BILLY,78,0.175,0.764,112667,0.711,0,4,0.105,-3.818,0,0.288,90.076,4,0.774
9,6ix9ine,TATI (feat. DJ SpinKing),77,0.00214,0.779,154565,0.767,0,11,0.102,-5.462,0,0.258,91.981,4,0.523
0,Nicky Jam,Baby,82,0.327,0.7,235973,0.71,0,11,0.129,-4.835,1,0.0532,167.971,4,0.582
1,Nicky Jam,X,82,0.0364,0.595,173628,0.773,0.00108,9,0.334,-4.736,0,0.0549,180.073,4,0.711
2,Nicky Jam,X - Remix,78,0.0561,0.663,235747,0.696,3.77e-05,9,0.0778,-4.957,0,0.103,180.113,4,0.738
3,Nicky Jam,Bella y Sensual,75,0.228,0.635,204701,0.713,0,11,0.0506,-6.909,1,0.0937,179.864,4,0.749
4,Nicky Jam,El Perdón,74,0.446,0.628,205907,0.69,0,8,0.112,-5.828,1,0.0511,179.911,4,0.662
5,Nicky Jam,Que Le De,74,0.19,0.77,225600,0.75,0,0,0.0618,-2.715,1,0.0785,99.997,4,0.609
6,Nicky Jam,Tú Y Yo (feat. Nicky Jam & Justin Quiles),74,0.199,0.805,200093,0.786,0,1,0.197,-4.418,1,0.0364,94.983,4,0.751
7,Nicky Jam,Good Vibes,74,0.0348,0.823,235720,0.63,6.72e-06,7,0.0964,-3.932,1,0.0797,100.04,4,0.184
8,Nicky Jam,Jaleo,73,0.0097,0.623,176000,0.872,0,11,0.0708,-3.773,0,0.147,105.147,4,0.355
9,Nicky Jam,El Amante,73,0.243,0.683,219507,0.691,0,8,0.14,-5.535,1,0.0432,179.91,4,0.732
0,Justin Bieber,No Brainer,83,0.0733,0.552,260000,0.76,0,0,0.0865,-4.706,1,0.342,135.702,5,0.639
1,Justin Bieber,Love Yourself,81,0.856,0.607,233720,0.376,0,4,0.285,-9.954,1,0.453,102.541,4,0.545
2,Justin Bieber,Sorry,80,0.0865,0.605,200787,0.768,0,0,0.308,-3.724,0,0.0476,100.209,4,0.414
3,Justin Bieber,Friends (with BloodPop®),76,0.00402,0.743,189467,0.733,0,8,0.304,-5.337,1,0.0375,104.977,4,0.622
4,Justin Bieber,What Do You Mean?,76,0.61,0.837,205680,0.571,0.000898,5,0.0849,-8.273,0,0.0922,125.034,4,0.801
5,Justin Bieber,Mistletoe,75,0.498,0.658,182947,0.56,0,6,0.0794,-9.049,0,0.0467,161.994,4,0.854
6,Justin Bieber,Baby,71,0.0544,0.656,214240,0.841,0,5,0.122,-5.183,0,0.232,65.024,4,0.522
7,Justin Bieber,Purpose,70,0.899,0.484,210160,0.285,0,0,0.121,-10.863,1,0.0397,126.749,4,0.302
8,Justin Bieber,Company,69,0.147,0.617,208120,0.8,0,4,0.0852,-5.024,0,0.0654,94.985,4,0.42
